"Sample_ID","sample_type","loc.asv","ASV","reads","extraction_ID","pcr_replicate","alt_ID","tank_ID"
"e02436-A","sample","10.ASV1","ASV1",40730,"e02436","A","171","10"
"e02436-A","sample","10.ASV2","ASV2",2211,"e02436","A","171","10"
"e02436-A","sample","10.ASV16","ASV16",0,"e02436","A","171","10"
"e02436-A","sample","10.ASV19","ASV19",0,"e02436","A","171","10"
"e02436-A","sample","10.ASV83","ASV83",0,"e02436","A","171","10"
"e02437-A","sample","10.ASV1","ASV1",37096,"e02437","A","335","10"
"e02437-A","sample","10.ASV2","ASV2",3623,"e02437","A","335","10"
"e02437-A","sample","10.ASV16","ASV16",0,"e02437","A","335","10"
"e02437-A","sample","10.ASV19","ASV19",0,"e02437","A","335","10"
"e02437-A","sample","10.ASV83","ASV83",0,"e02437","A","335","10"
"e02438-A","sample","10.ASV1","ASV1",23998,"e02438","A","475","10"
"e02438-A","sample","10.ASV2","ASV2",1758,"e02438","A","475","10"
"e02438-A","sample","10.ASV16","ASV16",18,"e02438","A","475","10"
"e02438-A","sample","10.ASV19","ASV19",0,"e02438","A","475","10"
"e02438-A","sample","10.ASV83","ASV83",0,"e02438","A","475","10"
"e02436-B","sample","10.ASV1","ASV1",30558,"e02436","B","171","10"
"e02436-B","sample","10.ASV2","ASV2",3151,"e02436","B","171","10"
"e02436-B","sample","10.ASV16","ASV16",0,"e02436","B","171","10"
"e02436-B","sample","10.ASV19","ASV19",465,"e02436","B","171","10"
"e02436-B","sample","10.ASV83","ASV83",0,"e02436","B","171","10"
"e02437-B","sample","10.ASV1","ASV1",31766,"e02437","B","335","10"
"e02437-B","sample","10.ASV2","ASV2",4469,"e02437","B","335","10"
"e02437-B","sample","10.ASV16","ASV16",0,"e02437","B","335","10"
"e02437-B","sample","10.ASV19","ASV19",465,"e02437","B","335","10"
"e02437-B","sample","10.ASV83","ASV83",0,"e02437","B","335","10"
"e02438-B","sample","10.ASV1","ASV1",36095,"e02438","B","475","10"
"e02438-B","sample","10.ASV2","ASV2",3111,"e02438","B","475","10"
"e02438-B","sample","10.ASV16","ASV16",9,"e02438","B","475","10"
"e02438-B","sample","10.ASV19","ASV19",0,"e02438","B","475","10"
"e02438-B","sample","10.ASV83","ASV83",22,"e02438","B","475","10"
"e02436-C","sample","10.ASV1","ASV1",25371,"e02436","C","171","10"
"e02436-C","sample","10.ASV2","ASV2",3028,"e02436","C","171","10"
"e02436-C","sample","10.ASV16","ASV16",0,"e02436","C","171","10"
"e02436-C","sample","10.ASV19","ASV19",0,"e02436","C","171","10"
"e02436-C","sample","10.ASV83","ASV83",0,"e02436","C","171","10"
"e02437-C","sample","10.ASV1","ASV1",91735,"e02437","C","335","10"
"e02437-C","sample","10.ASV2","ASV2",12033,"e02437","C","335","10"
"e02437-C","sample","10.ASV16","ASV16",0,"e02437","C","335","10"
"e02437-C","sample","10.ASV19","ASV19",1221,"e02437","C","335","10"
"e02437-C","sample","10.ASV83","ASV83",0,"e02437","C","335","10"
"e02438-C","sample","10.ASV1","ASV1",44003,"e02438","C","475","10"
"e02438-C","sample","10.ASV2","ASV2",3987,"e02438","C","475","10"
"e02438-C","sample","10.ASV16","ASV16",17,"e02438","C","475","10"
"e02438-C","sample","10.ASV19","ASV19",0,"e02438","C","475","10"
"e02438-C","sample","10.ASV83","ASV83",87,"e02438","C","475","10"
"e02120-A","sample","11.ASV2","ASV2",12610,"e02120","A","413","11"
"e02120-A","sample","11.ASV4","ASV4",4174,"e02120","A","413","11"
"e02120-A","sample","11.ASV5","ASV5",4896,"e02120","A","413","11"
"e02120-A","sample","11.ASV13","ASV13",190,"e02120","A","413","11"
"e02120-A","sample","11.ASV16","ASV16",111,"e02120","A","413","11"
"e02131-A","sample","11.ASV2","ASV2",17352,"e02131","A","495","11"
"e02131-A","sample","11.ASV4","ASV4",4571,"e02131","A","495","11"
"e02131-A","sample","11.ASV5","ASV5",3258,"e02131","A","495","11"
"e02131-A","sample","11.ASV13","ASV13",190,"e02131","A","495","11"
"e02131-A","sample","11.ASV16","ASV16",96,"e02131","A","495","11"
"e02139-A","sample","11.ASV2","ASV2",25042,"e02139","A","377","11"
"e02139-A","sample","11.ASV4","ASV4",4458,"e02139","A","377","11"
"e02139-A","sample","11.ASV5","ASV5",2887,"e02139","A","377","11"
"e02139-A","sample","11.ASV13","ASV13",238,"e02139","A","377","11"
"e02139-A","sample","11.ASV16","ASV16",67,"e02139","A","377","11"
"e02120-B","sample","11.ASV2","ASV2",16341,"e02120","B","413","11"
"e02120-B","sample","11.ASV4","ASV4",7209,"e02120","B","413","11"
"e02120-B","sample","11.ASV5","ASV5",6038,"e02120","B","413","11"
"e02120-B","sample","11.ASV13","ASV13",330,"e02120","B","413","11"
"e02120-B","sample","11.ASV16","ASV16",88,"e02120","B","413","11"
"e02131-B","sample","11.ASV2","ASV2",27532,"e02131","B","495","11"
"e02131-B","sample","11.ASV4","ASV4",7551,"e02131","B","495","11"
"e02131-B","sample","11.ASV5","ASV5",4345,"e02131","B","495","11"
"e02131-B","sample","11.ASV13","ASV13",335,"e02131","B","495","11"
"e02131-B","sample","11.ASV16","ASV16",72,"e02131","B","495","11"
"e02139-B","sample","11.ASV2","ASV2",32354,"e02139","B","377","11"
"e02139-B","sample","11.ASV4","ASV4",7578,"e02139","B","377","11"
"e02139-B","sample","11.ASV5","ASV5",4027,"e02139","B","377","11"
"e02139-B","sample","11.ASV13","ASV13",464,"e02139","B","377","11"
"e02139-B","sample","11.ASV16","ASV16",78,"e02139","B","377","11"
"e02120-C","sample","11.ASV2","ASV2",13415,"e02120","C","413","11"
"e02120-C","sample","11.ASV4","ASV4",4902,"e02120","C","413","11"
"e02120-C","sample","11.ASV5","ASV5",5820,"e02120","C","413","11"
"e02120-C","sample","11.ASV13","ASV13",210,"e02120","C","413","11"
"e02120-C","sample","11.ASV16","ASV16",649,"e02120","C","413","11"
"e02131-C","sample","11.ASV2","ASV2",12328,"e02131","C","495","11"
"e02131-C","sample","11.ASV4","ASV4",2067,"e02131","C","495","11"
"e02131-C","sample","11.ASV5","ASV5",2855,"e02131","C","495","11"
"e02131-C","sample","11.ASV13","ASV13",80,"e02131","C","495","11"
"e02131-C","sample","11.ASV16","ASV16",68,"e02131","C","495","11"
"e02139-C","sample","11.ASV2","ASV2",16729,"e02139","C","377","11"
"e02139-C","sample","11.ASV4","ASV4",2605,"e02139","C","377","11"
"e02139-C","sample","11.ASV5","ASV5",2190,"e02139","C","377","11"
"e02139-C","sample","11.ASV13","ASV13",0,"e02139","C","377","11"
"e02139-C","sample","11.ASV16","ASV16",94,"e02139","C","377","11"
"e02141-A","sample","17.ASV2","ASV2",19110,"e02141","A","491","17"
"e02141-A","sample","17.ASV4","ASV4",5525,"e02141","A","491","17"
"e02141-A","sample","17.ASV13","ASV13",199,"e02141","A","491","17"
"e02141-A","sample","17.ASV16","ASV16",0,"e02141","A","491","17"
"e02141-A","sample","17.ASV22","ASV22",12,"e02141","A","491","17"
"e02150-A","sample","17.ASV2","ASV2",22825,"e02150","A","481","17"
"e02150-A","sample","17.ASV4","ASV4",10970,"e02150","A","481","17"
"e02150-A","sample","17.ASV13","ASV13",314,"e02150","A","481","17"
"e02150-A","sample","17.ASV16","ASV16",32,"e02150","A","481","17"
"e02150-A","sample","17.ASV22","ASV22",20,"e02150","A","481","17"
"e02152-A","sample","17.ASV2","ASV2",16761,"e02152","A","408","17"
"e02152-A","sample","17.ASV4","ASV4",5737,"e02152","A","408","17"
"e02152-A","sample","17.ASV13","ASV13",154,"e02152","A","408","17"
"e02152-A","sample","17.ASV16","ASV16",0,"e02152","A","408","17"
"e02152-A","sample","17.ASV22","ASV22",19,"e02152","A","408","17"
"e02141-B","sample","17.ASV2","ASV2",21829,"e02141","B","491","17"
"e02141-B","sample","17.ASV4","ASV4",8170,"e02141","B","491","17"
"e02141-B","sample","17.ASV13","ASV13",207,"e02141","B","491","17"
"e02141-B","sample","17.ASV16","ASV16",0,"e02141","B","491","17"
"e02141-B","sample","17.ASV22","ASV22",0,"e02141","B","491","17"
"e02150-B","sample","17.ASV2","ASV2",28895,"e02150","B","481","17"
"e02150-B","sample","17.ASV4","ASV4",10594,"e02150","B","481","17"
"e02150-B","sample","17.ASV13","ASV13",490,"e02150","B","481","17"
"e02150-B","sample","17.ASV16","ASV16",0,"e02150","B","481","17"
"e02150-B","sample","17.ASV22","ASV22",0,"e02150","B","481","17"
"e02152-B","sample","17.ASV2","ASV2",24743,"e02152","B","408","17"
"e02152-B","sample","17.ASV4","ASV4",12663,"e02152","B","408","17"
"e02152-B","sample","17.ASV13","ASV13",217,"e02152","B","408","17"
"e02152-B","sample","17.ASV16","ASV16",29,"e02152","B","408","17"
"e02152-B","sample","17.ASV22","ASV22",15,"e02152","B","408","17"
"e02141-C","sample","17.ASV2","ASV2",14336,"e02141","C","491","17"
