"Sample_ID","sample_type","loc.asv","ASV","reads","extraction_ID","pcr_replicate","alt_ID","tank_ID","station_ID","combined_column"
"e02496-A","sample","14.ASV1","ASV1",26370,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV2","ASV2",118,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV9","ASV9",0,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV14","ASV14",0,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV16","ASV16",0,"e02496","A","234","14",NA,"14"
"e02496-A","sample","14.ASV22","ASV22",0,"e02496","A","234","14",NA,"14"
"e02497-A","sample","14.ASV1","ASV1",21872,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV2","ASV2",413,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV9","ASV9",0,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV14","ASV14",0,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV16","ASV16",1037,"e02497","A","272","14",NA,"14"
"e02497-A","sample","14.ASV22","ASV22",0,"e02497","A","272","14",NA,"14"
"e02498-A","sample","14.ASV1","ASV1",15545,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV2","ASV2",39,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV9","ASV9",0,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV14","ASV14",0,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV16","ASV16",0,"e02498","A","150","14",NA,"14"
"e02498-A","sample","14.ASV22","ASV22",0,"e02498","A","150","14",NA,"14"
"e02496-B","sample","14.ASV1","ASV1",52229,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV2","ASV2",215,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV9","ASV9",0,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV14","ASV14",0,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV16","ASV16",751,"e02496","B","234","14",NA,"14"
"e02496-B","sample","14.ASV22","ASV22",0,"e02496","B","234","14",NA,"14"
"e02497-B","sample","14.ASV1","ASV1",48209,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV2","ASV2",518,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV9","ASV9",0,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV14","ASV14",155,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV16","ASV16",2019,"e02497","B","272","14",NA,"14"
"e02497-B","sample","14.ASV22","ASV22",969,"e02497","B","272","14",NA,"14"
"e02498-B","sample","14.ASV1","ASV1",42882,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV2","ASV2",65,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV9","ASV9",48,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV14","ASV14",0,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV16","ASV16",0,"e02498","B","150","14",NA,"14"
"e02498-B","sample","14.ASV22","ASV22",594,"e02498","B","150","14",NA,"14"
"e02496-C","sample","14.ASV1","ASV1",40724,"e02496","C","234","14",NA,"14"
"e02496-C","sample","14.ASV2","ASV2",108,"e02496","C","234","14",NA,"14"
"e02496-C","sample","14.ASV9","ASV9",0,"e02496","C","234","14",NA,"14"
