"","Sample_ID","sample_type","extraction_ID","pcr_replicate","alt_ID","tank_ID","station_ID","combined_column","taxon","total_reads","MiSeq_run"
"1","e02362-A","sample","e02362","A","435",2,NA,"2","Boreogadus saida",917,"B"
"2","e02362-A","sample","e02362","A","435",2,NA,"2","Gadus chalcogrammus",25800,"B"
"3","e02362-A","sample","e02362","A","435",2,NA,"2","Gadus macrocephalus",1583,"B"
"4","e02362-B","sample","e02362","B","435",2,NA,"2","Boreogadus saida",772,"B"
"5","e02362-B","sample","e02362","B","435",2,NA,"2","Gadus chalcogrammus",30582,"B"
"6","e02362-B","sample","e02362","B","435",2,NA,"2","Gadus macrocephalus",1658,"B"
"7","e02362-C","sample","e02362","C","435",2,NA,"2","Boreogadus saida",882,"B"
"8","e02362-C","sample","e02362","C","435",2,NA,"2","Gadus chalcogrammus",36387,"B"
"9","e02362-C","sample","e02362","C","435",2,NA,"2","Gadus macrocephalus",2380,"B"
"10","e02363-A","sample","e02363","A","393",2,NA,"2","Boreogadus saida",1177,"B"
"11","e02363-A","sample","e02363","A","393",2,NA,"2","Gadus chalcogrammus",27246,"B"
"12","e02363-A","sample","e02363","A","393",2,NA,"2","Gadus macrocephalus",2844,"B"
"13","e02363-B","sample","e02363","B","393",2,NA,"2","Boreogadus saida",788,"B"
"14","e02363-B","sample","e02363","B","393",2,NA,"2","Gadus chalcogrammus",23601,"B"
"15","e02363-B","sample","e02363","B","393",2,NA,"2","Gadus macrocephalus",1493,"B"
"16","e02363-C","sample","e02363","C","393",2,NA,"2","Boreogadus saida",751,"B"
"17","e02363-C","sample","e02363","C","393",2,NA,"2","Gadus chalcogrammus",28717,"B"
"18","e02363-C","sample","e02363","C","393",2,NA,"2","Gadus macrocephalus",2315,"B"
"19","e02366-A","sample","e02366","A","446",2,NA,"2","Boreogadus saida",985,"B"
"20","e02366-A","sample","e02366","A","446",2,NA,"2","Gadus chalcogrammus",26192,"B"
"21","e02366-A","sample","e02366","A","446",2,NA,"2","Gadus macrocephalus",1921,"B"
"22","e02366-B","sample","e02366","B","446",2,NA,"2","Boreogadus saida",675,"B"
"23","e02366-B","sample","e02366","B","446",2,NA,"2","Gadus chalcogrammus",36317,"B"
"24","e02366-B","sample","e02366","B","446",2,NA,"2","Gadus macrocephalus",1928,"B"
"25","e02366-C","sample","e02366","C","446",2,NA,"2","Boreogadus saida",353,"B"
"26","e02366-C","sample","e02366","C","446",2,NA,"2","Gadus chalcogrammus",35596,"B"
"27","e02366-C","sample","e02366","C","446",2,NA,"2","Gadus macrocephalus",2173,"B"
"28","e02370-A","sample","e02370","A","81",39,NA,"39","Boreogadus saida",3904,"B"
"29","e02370-A","sample","e02370","A","81",39,NA,"39","Gadus chalcogrammus",17554,"B"
"30","e02370-A","sample","e02370","A","81",39,NA,"39","Gadus macrocephalus",8965,"B"
"31","e02370-B","sample","e02370","B","81",39,NA,"39","Boreogadus saida",3196,"B"
"32","e02370-B","sample","e02370","B","81",39,NA,"39","Gadus chalcogrammus",18186,"B"
"33","e02370-B","sample","e02370","B","81",39,NA,"39","Gadus macrocephalus",9588,"B"
"34","e02370-C","sample","e02370","C","81",39,NA,"39","Boreogadus saida",4215,"B"
"35","e02370-C","sample","e02370","C","81",39,NA,"39","Gadus chalcogrammus",25373,"B"
"36","e02370-C","sample","e02370","C","81",39,NA,"39","Gadus macrocephalus",13808,"B"
"37","e02372-A","sample","e02372","A","398",89,NA,"89","Gadus chalcogrammus",12000,"B"
"38","e02372-A","sample","e02372","A","398",89,NA,"89","Gadus macrocephalus",22173,"B"
"39","e02372-B","sample","e02372","B","398",89,NA,"89","Gadus chalcogrammus",11626,"B"
"40","e02372-B","sample","e02372","B","398",89,NA,"89","Gadus macrocephalus",19761,"B"
"41","e02372-C","sample","e02372","C","398",89,NA,"89","Gadus chalcogrammus",12528,"B"
"42","e02372-C","sample","e02372","C","398",89,NA,"89","Gadus macrocephalus",18658,"B"
"43","e02373-A","sample","e02373","A","312",89,NA,"89","Gadus chalcogrammus",21936,"B"
"44","e02373-A","sample","e02373","A","312",89,NA,"89","Gadus macrocephalus",31656,"B"
"45","e02373-B","sample","e02373","B","312",89,NA,"89","Gadus chalcogrammus",12834,"B"
"46","e02373-B","sample","e02373","B","312",89,NA,"89","Gadus macrocephalus",17005,"B"
"47","e02373-C","sample","e02373","C","312",89,NA,"89","Gadus chalcogrammus",15244,"B"
"48","e02373-C","sample","e02373","C","312",89,NA,"89","Gadus macrocephalus",19649,"B"
"49","e02374-A","sample","e02374","A","360",39,NA,"39","Boreogadus saida",6176,"B"
"50","e02374-A","sample","e02374","A","360",39,NA,"39","Gadus chalcogrammus",25185,"B"
"51","e02374-A","sample","e02374","A","360",39,NA,"39","Gadus macrocephalus",13472,"B"
"52","e02374-B","sample","e02374","B","360",39,NA,"39","Boreogadus saida",3673,"B"
"53","e02374-B","sample","e02374","B","360",39,NA,"39","Gadus chalcogrammus",20947,"B"
"54","e02374-B","sample","e02374","B","360",39,NA,"39","Gadus macrocephalus",10533,"B"
"55","e02374-C","sample","e02374","C","360",39,NA,"39","Boreogadus saida",3984,"B"
"56","e02374-C","sample","e02374","C","360",39,NA,"39","Gadus chalcogrammus",27951,"B"
"57","e02374-C","sample","e02374","C","360",39,NA,"39","Gadus macrocephalus",13970,"B"
"58","e02375-A","sample","e02375","A","8",39,NA,"39","Boreogadus saida",4464,"B"
"59","e02375-A","sample","e02375","A","8",39,NA,"39","Gadus chalcogrammus",15394,"B"
"60","e02375-A","sample","e02375","A","8",39,NA,"39","Gadus macrocephalus",10334,"B"
"61","e02375-B","sample","e02375","B","8",39,NA,"39","Boreogadus saida",1931,"B"
"62","e02375-B","sample","e02375","B","8",39,NA,"39","Gadus chalcogrammus",7290,"B"
"63","e02375-B","sample","e02375","B","8",39,NA,"39","Gadus macrocephalus",4452,"B"
"64","e02375-C","sample","e02375","C","8",39,NA,"39","Boreogadus saida",2721,"B"
"65","e02375-C","sample","e02375","C","8",39,NA,"39","Gadus chalcogrammus",14427,"B"
"66","e02375-C","sample","e02375","C","8",39,NA,"39","Gadus macrocephalus",8389,"B"
"67","e02380-A","sample","e02380","A","492",89,NA,"89","Gadus chalcogrammus",14553,"B"
"68","e02380-A","sample","e02380","A","492",89,NA,"89","Gadus macrocephalus",20604,"B"
"69","e02380-B","sample","e02380","B","492",89,NA,"89","Gadus chalcogrammus",14590,"B"
"70","e02380-B","sample","e02380","B","492",89,NA,"89","Gadus macrocephalus",19999,"B"
"71","e02380-C","sample","e02380","C","492",89,NA,"89","Gadus chalcogrammus",17070,"B"
"72","e02380-C","sample","e02380","C","492",89,NA,"89","Gadus macrocephalus",20698,"B"
"73","e02450-A","sample","e02450","A","239",46,NA,"46","Boreogadus saida",3527,"B"
"74","e02450-A","sample","e02450","A","239",46,NA,"46","Gadus chalcogrammus",2633,"B"
"75","e02450-A","sample","e02450","A","239",46,NA,"46","Gadus macrocephalus",14874,"B"
"76","e02450-B","sample","e02450","B","239",46,NA,"46","Boreogadus saida",6806,"B"
"77","e02450-B","sample","e02450","B","239",46,NA,"46","Gadus chalcogrammus",5316,"B"
"78","e02450-B","sample","e02450","B","239",46,NA,"46","Gadus macrocephalus",31138,"B"
"79","e02450-C","sample","e02450","C","239",46,NA,"46","Boreogadus saida",4989,"B"
"80","e02450-C","sample","e02450","C","239",46,NA,"46","Gadus chalcogrammus",4438,"B"
"81","e02450-C","sample","e02450","C","239",46,NA,"46","Gadus macrocephalus",25608,"B"
"82","e02452-A","sample","e02452","A","473",46,NA,"46","Boreogadus saida",4860,"B"
"83","e02452-A","sample","e02452","A","473",46,NA,"46","Gadus chalcogrammus",2814,"B"
"84","e02452-A","sample","e02452","A","473",46,NA,"46","Gadus macrocephalus",17869,"B"
"85","e02452-B","sample","e02452","B","473",46,NA,"46","Boreogadus saida",4571,"B"
"86","e02452-B","sample","e02452","B","473",46,NA,"46","Gadus chalcogrammus",3545,"B"
"87","e02452-B","sample","e02452","B","473",46,NA,"46","Gadus macrocephalus",20379,"B"
"88","e02452-C","sample","e02452","C","473",46,NA,"46","Boreogadus saida",5763,"B"
"89","e02452-C","sample","e02452","C","473",46,NA,"46","Gadus chalcogrammus",4226,"B"
"90","e02452-C","sample","e02452","C","473",46,NA,"46","Gadus macrocephalus",21858,"B"
"91","e02453-A","sample","e02453","A","45",46,NA,"46","Boreogadus saida",4558,"B"
"92","e02453-A","sample","e02453","A","45",46,NA,"46","Gadus chalcogrammus",5507,"B"
"93","e02453-A","sample","e02453","A","45",46,NA,"46","Gadus macrocephalus",17326,"B"
"94","e02453-B","sample","e02453","B","45",46,NA,"46","Boreogadus saida",5104,"B"
"95","e02453-B","sample","e02453","B","45",46,NA,"46","Gadus chalcogrammus",7370,"B"
"96","e02453-B","sample","e02453","B","45",46,NA,"46","Gadus macrocephalus",22556,"B"
"97","e02453-C","sample","e02453","C","45",46,NA,"46","Boreogadus saida",6773,"B"
"98","e02453-C","sample","e02453","C","45",46,NA,"46","Gadus chalcogrammus",7228,"B"
"99","e02453-C","sample","e02453","C","45",46,NA,"46","Gadus macrocephalus",25367,"B"
"100","e02454-A","sample","e02454","A","111",96,NA,"96","Boreogadus saida",13,"B"
"101","e02454-A","sample","e02454","A","111",96,NA,"96","Gadus chalcogrammus",18062,"B"
"102","e02454-A","sample","e02454","A","111",96,NA,"96","Gadus macrocephalus",4948,"B"
"103","e02454-B","sample","e02454","B","111",96,NA,"96","Boreogadus saida",5,"B"
"104","e02454-B","sample","e02454","B","111",96,NA,"96","Gadus chalcogrammus",36946,"B"
"105","e02454-B","sample","e02454","B","111",96,NA,"96","Gadus macrocephalus",8271,"B"
"106","e02454-C","sample","e02454","C","111",96,NA,"96","Boreogadus saida",0,"B"
"107","e02454-C","sample","e02454","C","111",96,NA,"96","Gadus chalcogrammus",35576,"B"
"108","e02454-C","sample","e02454","C","111",96,NA,"96","Gadus macrocephalus",9901,"B"
"109","e02455-A","sample","e02455","A","440",96,NA,"96","Boreogadus saida",0,"B"
