Sample_ID,extraction_ID,pcr_replicate,project,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,MiSeq_run,collection_year,collection_month,collection_day,location1,longitude,latitude,depth,time_of_day
e02112_A,e02112,A,aquaria,59,40,NA,sample,18_2023,A1,5.155,A,2023,3,24,NA,NA,NA,NA,NA
e02205_A,e02205,A,aquaria,384,87,NA,sample,19_2023,A1,2.504,A,2023,2,1,NA,NA,NA,NA,NA
e02114_A,e02114,A,aquaria,423,47,NA,sample,18_2023,C1,2.241,A,2023,3,31,NA,NA,NA,NA,NA
e02207_A,e02207,A,aquaria,429,98,NA,sample,19_2023,C1,4.283,A,2023,1,23,NA,NA,NA,NA,NA
e02116_A,e02116,A,aquaria,299,55,NA,sample,18_2023,E1,2.473,A,2023,3,31,NA,NA,NA,NA,NA
e02209_A,e02209,A,aquaria,332,98,NA,sample,19_2023,E1,2.621,A,2023,1,23,NA,NA,NA,NA,NA
e02118_A,e02118,A,aquaria,224,55,NA,sample,18_2023,G1,2.393,A,2023,3,31,NA,NA,NA,NA,NA
e02211_A,e02211,A,aquaria,300,87,NA,sample,19_2023,G1,3.158,A,2023,2,1,NA,NA,NA,NA,NA
e02120_A,e02120,A,aquaria,413,11,NA,sample,18_2023,A2,2.327,A,2023,3,27,NA,NA,NA,NA,NA
e02213_A,e02213,A,aquaria,NA,NA,NA,extraction_blank,19_2023,A2,0.28,A,NA,NA,NA,NA,NA,NA,NA,NA
e02122_A,e02122,A,aquaria,213,40,NA,sample,18_2023,C2,5.449,A,2023,3,24,NA,NA,NA,NA,NA
e02214_A,e02214,A,aquaria,241,T,NA,field_blank,19_2023,B2,0.51,A,2023,2,1,NA,NA,NA,NA,NA
e02124_A,e02124,A,aquaria,220,40,NA,sample,18_2023,E2,4.737,A,2023,3,24,NA,NA,NA,NA,NA
e02216_A,e02216,A,aquaria,133,87,NA,sample,19_2023,D2,1.946,A,2023,2,1,NA,NA,NA,NA,NA
e02126_A,e02126,A,aquaria,273,47,NA,sample,18_2023,G2,1.982,A,2023,3,31,NA,NA,NA,NA,NA
e02218_A,e02218,A,aquaria,314,98,NA,sample,19_2023,F2,5.769,A,2023,1,23,NA,NA,NA,NA,NA
e02128_A,e02128,A,aquaria,NA,NA,NA,extraction_blank,18_2023,A3,0.218,A,NA,NA,NA,NA,NA,NA,NA,NA
e02129_A,e02129,A,aquaria,275,47,NA,sample,18_2023,B3,2.249,A,2023,3,31,NA,NA,NA,NA,NA
e02220_A,e02220,A,aquaria,79,72,NA,sample,19_2023,H2,12.923,A,2023,1,23,NA,NA,NA,NA,NA
e02131_A,e02131,A,aquaria,495,11,NA,sample,18_2023,D3,3.517,A,2023,3,27,NA,NA,NA,NA,NA
e02222_A,e02222,A,aquaria,94,72,NA,sample,19_2023,B3,11.216,A,2023,1,23,NA,NA,NA,NA,NA
e02133_A,e02133,A,aquaria,141,86,NA,sample,18_2023,F3,3.295,A,2023,3,17,NA,NA,NA,NA,NA
e02224_A,e02224,A,aquaria,10,72,NA,sample,19_2023,D3,12.142,A,2023,1,23,NA,NA,NA,NA,NA
e02135_A,e02135,A,aquaria,194,T,NA,field_blank,18_2023,H3,0.68,A,2023,3,24,NA,NA,NA,NA,NA
e02226_A,e02226,A,aquaria,340,32,NA,sample,19_2023,F3,31.5,A,2023,1,23,NA,NA,NA,NA,NA
e02137_A,e02137,A,aquaria,118,T,NA,field_blank,18_2023,B4,0.477,A,2023,3,27,NA,NA,NA,NA,NA
e02228_A,e02228,A,aquaria,124,24,NA,sample,19_2023,H3,2.532,A,2023,1,23,NA,NA,NA,NA,NA
e02139_A,e02139,A,aquaria,377,11,NA,sample,18_2023,D4,3.169,A,2023,3,27,NA,NA,NA,NA,NA
e02230_A,e02230,A,aquaria,NA,NA,NA,extraction_blank,19_2023,B4,0.251,A,NA,NA,NA,NA,NA,NA,NA,NA
e02141_A,e02141,A,aquaria,491,17,NA,sample,18_2023,F4,2.525,A,2023,3,20,NA,NA,NA,NA,NA
e02231_A,e02231,A,aquaria,379,24,NA,sample,19_2023,C4,3.014,A,2023,1,23,NA,NA,NA,NA,NA
e02143_A,e02143,A,aquaria,62,3,NA,sample,18_2023,H4,1.928,A,2023,3,8,NA,NA,NA,NA,NA
e02233_A,e02233,A,aquaria,106,24,NA,sample,19_2023,E4,3.254,A,2023,1,23,NA,NA,NA,NA,NA
e02145_A,e02145,A,aquaria,NA,NA,NA,extraction_blank,18_2023,B5,0.226,A,NA,NA,NA,NA,NA,NA,NA,NA
e02146_A,e02146,A,aquaria,462,86,NA,sample,18_2023,C5,2.332,A,2023,3,17,NA,NA,NA,NA,NA
e02235_A,e02235,A,aquaria,351,32,NA,sample,19_2023,G4,29.854,A,2023,1,23,NA,NA,NA,NA,NA
e02148_A,e02148,A,aquaria,229,T,NA,field_blank,18_2023,E5,0.534,A,2023,3,20,NA,NA,NA,NA,NA
e02237_A,e02237,A,aquaria,313,32,NA,sample,19_2023,A5,31.5,A,2023,1,23,NA,NA,NA,NA,NA
e02150_A,e02150,A,aquaria,481,17,NA,sample,18_2023,G5,2.369,A,2023,3,20,NA,NA,NA,NA,NA
e02239_A,e02239,A,aquaria,395,T,NA,field_blank,19_2023,C5,0.769,A,2023,1,23,NA,NA,NA,NA,NA
e02152_A,e02152,A,aquaria,408,17,NA,sample,18_2023,A6,3.061,A,2023,3,20,NA,NA,NA,NA,NA
e02241_A,e02241,A,aquaria,212,43,NA,sample,19_2023,E5,7.709,A,2022,12,6,NA,NA,NA,NA,NA
e02154_A,e02154,A,aquaria,226,3,NA,sample,18_2023,C6,1.949,A,2023,3,8,NA,NA,NA,NA,NA
e02243_A,e02243,A,aquaria,301,43,NA,sample,19_2023,G5,6.708,A,2022,12,6,NA,NA,NA,NA,NA
e02156_A,e02156,A,aquaria,370,86,NA,sample,18_2023,E6,2.33,A,2023,3,17,NA,NA,NA,NA,NA
e02245_A,e02245,A,aquaria,72,43,NA,sample,19_2023,A6,5.117,A,2022,12,6,NA,NA,NA,NA,NA
e02158_A,e02158,A,aquaria,391,41,NA,sample,18_2023,G6,4.61,A,2023,3,17,NA,NA,NA,NA,NA
NC1_A,NC1,A,aquaria,NA,NA,NA,PCR_blank,NA,H6,0.217,A,NA,NA,NA,NA,NA,NA,NA,NA
e02247_A,e02247,A,aquaria,NA,NA,NA,extraction_blank,19_2023,C6,0.235,A,NA,NA,NA,NA,NA,NA,NA,NA
e02160_A,e02160,A,aquaria,417,41,NA,sample,18_2023,B7,5.474,A,2023,3,17,NA,NA,NA,NA,NA
e02248_A,e02248,A,aquaria,107,T,NA,field_blank,19_2023,D6,0.673,A,2022,12,6,NA,NA,NA,NA,NA
e02162_A,e02162,A,aquaria,NA,NA,NA,extraction_blank,18_2023,D7,0.212,A,NA,NA,NA,NA,NA,NA,NA,NA
e02163_A,e02163,A,aquaria,358,41,NA,sample,18_2023,E7,5.78,A,2023,3,17,NA,NA,NA,NA,NA
e02199_A,e02199,A,aquaria,89,67,NA,sample,18_2023,A12,10.594,A,2023,2,1,NA,NA,NA,NA,NA
e02165_A,e02165,A,aquaria,385,59,NA,sample,18_2023,G7,1.297,A,2023,3,8,NA,NA,NA,NA,NA
e02201_A,e02201,A,aquaria,388,67,NA,sample,18_2023,C12,16.945,A,2023,2,1,NA,NA,NA,NA,NA
e02167_A,e02167,A,aquaria,404,3,NA,sample,18_2023,A8,1.878,A,2023,3,8,NA,NA,NA,NA,NA
e02203_A,e02203,A,aquaria,368,67,NA,sample,18_2023,E12,20.698,A,2023,2,1,NA,NA,NA,NA,NA
e02169_A,e02169,A,aquaria,52,T,NA,field_blank,18_2023,C8,0.506,A,2023,3,17,NA,NA,NA,NA,NA
e02192_A,e02192,A,aquaria,420,34,NA,sample,18_2023,B11,2.311,A,2023,2,1,NA,NA,NA,NA,NA
